COU,Country,Variable,Year,Unit,Value
ARM,Armenia,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,1139.815
ARM,Armenia,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,1115.201
ARM,Armenia,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,1045.64
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,7.522354
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,7.746323
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,8.247539
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,12.04398
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,13.28011
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,12.73839
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,11.71413
AZE,Azerbaijan,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,517.276
AZE,Azerbaijan,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,632.818
AZE,Azerbaijan,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,585.073
AZE,Azerbaijan,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,652.746
AZE,Azerbaijan,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,775.925
AZE,Azerbaijan,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,807.873
AZE,Azerbaijan,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,783.148
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,5.988775
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,6.361979
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,5.881981
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,7.615846
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,8.4378
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,8.752371
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,8.505048
BHS,Bahamas,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,233.971
BHS,Bahamas,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,239.189
BHS,Bahamas,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,245.691
BHS,Bahamas,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,220.094
BHS,Bahamas,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,216.617
BHS,Bahamas,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,243.86
BHS,Bahamas,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,254.771
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,2.36271
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,2.461323
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,2.450711
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,2.19717
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,2.206252
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,2.500172
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,2.612528
BHR,Bahrain,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,584.532
BHR,Bahrain,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,552.731
BHR,Bahrain,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,488.519
BHR,Bahrain,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,454.056
BHR,Bahrain,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,341.858
BHR,Bahrain,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,356.396
BHR,Bahrain,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,381.299
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,5.753064
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,5.332247
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,4.690875
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,4.197317
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,3.200127
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,3.283627
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,3.55079
BGD,Bangladesh,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,200.109
BGD,Bangladesh,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,202.381
BGD,Bangladesh,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,222.997
BGD,Bangladesh,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,238.852
BGD,Bangladesh,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,289.306
BGD,Bangladesh,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,375.193
BGD,Bangladesh,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,453.833
BLR,Belarus,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,1037.126
BLR,Belarus,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,1247.709
BLR,Belarus,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,1240.137
BLR,Belarus,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,1354.327
BLR,Belarus,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,1345.676
BLR,Belarus,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,1006.043
BLR,Belarus,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,889.441
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,12.01793
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,15.0768
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,14.50365
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,15.22787
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,14.58546
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,10.84426
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,9.54286
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,1.513197
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,1.410885
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,1.628461
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,1.454112
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,1.57923
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,2.004425
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,2.50434
BMU,Bermuda,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,254.365
BMU,Bermuda,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,222.983
BMU,Bermuda,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,162.606
BMU,Bermuda,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,129.377
BMU,Bermuda,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,105.042
BMU,Bermuda,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,110.926
BMU,Bermuda,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,124.041
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,2.716052
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,2.52395
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,2.635024
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,3.023515
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,3.325935
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,3.946193
COG,Congo,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,4.106455
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,448.563
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,603.091
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,775.491
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,944.592
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,975.531
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,1115.74
BIH,Bosnia and Herzegovina,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,1094.15
BLZ,Belize,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,147.423
BLZ,Belize,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,184.19
BLZ,Belize,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,233.314
BLZ,Belize,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,190.821
BLZ,Belize,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,176.077
BLZ,Belize,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,218.938
BLZ,Belize,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,238.568
CMR,Cameroon,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,224.108
CMR,Cameroon,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,246.068
CMR,Cameroon,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,298.494
CMR,Cameroon,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,310.641
CMR,Cameroon,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,342.266
CMR,Cameroon,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,402.52
CMR,Cameroon,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,395.813
BWA,Botswana,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,180.093
BWA,Botswana,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,253.279
BWA,Botswana,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,337.761
BWA,Botswana,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,362.852
BWA,Botswana,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,395.369
BWA,Botswana,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,416.709
BWA,Botswana,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,408.65
BFA,Burkina Faso,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,124.139
BFA,Burkina Faso,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,116.302
BFA,Burkina Faso,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,134.102
BFA,Burkina Faso,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,138.716
BFA,Burkina Faso,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,140.759
BFA,Burkina Faso,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,174.511
BFA,Burkina Faso,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,166.317
BRB,Barbados,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,578.13
BRB,Barbados,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,587.097
BRB,Barbados,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,532.444
BRB,Barbados,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,478.394
BRB,Barbados,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,461.464
BRB,Barbados,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,549.971
BRB,Barbados,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,609.426
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,1.585949
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,1.61639
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,1.682589
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,1.558462
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,1.77181
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,2.044378
CAF,Central African Republic,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,1.972846
BOL,Bolivia,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,432.729
BOL,Bolivia,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,391.802
BOL,Bolivia,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,290.206
BOL,Bolivia,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,272.653
BOL,Bolivia,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,316.598
BOL,Bolivia,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,318.903
BOL,Bolivia,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,337.477
BTN,Bhutan,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,110.916
BTN,Bhutan,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,117.421
BTN,Bhutan,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,151.056
